product_name,price,image_url,video_url
SR 2401- DIE CAST METAL,₹880,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-Onfr14ffWRRjaiGIT8P.jpg,
2411B DIE CAST METAL,₹500,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OnLqvuipgtqsPAaXybj.jpg,
3688C LITTLE DRIVER,₹780,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OmJDW3uFgkzXI-Rd1lq.jpg,
ANNIE LSB GAME,₹160,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OnGkPESC-TLc1dujew0.jpg,
HUMAN BODY 4D LEARNING KIT AR,₹430,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-Olv3Yozi2gwQEyEwH5n.jpg,
ANIMAL AR 3D SAFARI,₹430,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-Olv3Yovsn_F4nHOfbi2.jpg,
SHOOT A BASKET,₹175,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OfExeJW1szREc7ViVfQ.jpg,
SPIN TAMBOLA,₹230,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-Oa9DvmhWImmHMAXXkzb.jpg,
DIY CRAFT BOX,₹240,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OZhgpL9XnefhZC-rRSR.jpg,
43 THRILL ACTION SHOOT A BASKET,₹290,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OZhgpL5hvj_cFbA2pmw.jpg,
151 3in1 Science Lab,₹440,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OZhgpL20xLX7akPIFoL.jpg,
149 Science Biology,₹365,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OZhgpKzWFnVgX32N4R4.jpg,
GLOW ROCK PAINTING,₹240,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OZDj5P9jzaWYfueIfsH.jpg,
SHELL PAINTING CRAFT,₹200,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OZDj5P7lhrVM4h9Ntz3.jpg,
DOUGH PLAY STATION,₹175,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OZDj5P6pbKC4ILjLqdf.jpg,
PLAY SAND,₹130,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OZDj5P5FqkQX1l7M3DZ.jpg,
AIRDRYCLAY Fridge magnets,₹250,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OZDj5P3bO6x94cJ2aCA.jpg,
JUMBO SEQUENCE,₹430,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OY7WzRCEPmwYkHlPYrU.jpg,
PICTUREKA GAME,₹340,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OY7WzR7CWDzhxlcuznf.jpg,
MAGNETIC CHESS FOLDING,₹210,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OW_znWe3_W2FBuEcA9g.jpg,
WORLD MAP,₹230,https://cdn.quicksell.co/-OQIdzkXGxkY9q31SvxI/products_400/-OW_znWdyx0oGTjQPZem.jpg,
SOLAR System PUZZLE,₹230,https://cdn.quicksell.co/-OQIdzkXGxkY9
